,DEFENSORIA OFICIAL Nº 1 - JJ CASTELLI,1,DEF01JJC,penal,SIGI,DEF01JJC
,DEFENSORIA OFICIAL N° 01 - SAENZ PEÑA,1,DEF01SP,penal,SIGI,DEF01SP
,DEFENSORIA OFICIAL N° 01 - VILLA ANGELA,1,DEF01VA,penal,SIGI,DEF01VA
,DEFENSORIA OFICIAL N° 02 - CIVIL,1,DEF02,civil,IURE,DEF02
,DEFENSORIA OFICIAL N° 02 - CHARATA,1,DEF02CH,penal,SIGI,DEF02CH
,DEFENSORIA OFICIAL N° 02 - GENERAL SAN MARTIN,1,DEF02GSM,penal,SIGI,DEF02GSM
,DEFENSORIA OFICIAL Nº 2 - JJ CASTELLI,1,DEF02JJC,penal,SIGI,DEF02JJC
,DEFENSORIA OFICIAL N° 02 - SAENZ PEÑA,1,DEF02SP,penal,SIGI,DEF02SP
,DEFENSORIA OFICIAL N° 02 - VILLA ANGELA,1,DEF02VA,penal,SIGI,DEF02VA
,DEFENSORIA OFICIAL N° 03 - CIVIL,1,DEF03,civil,IURE,DEF03
,DEFENSORIA OFICIAL N° 03 - CHARATA,1,DEF03CH,penal,SIGI,DEF03CH
,DEFENSORIA OFICIAL N° 03 - SAENZ PEÑA,1,DEF03SP,penal,SIGI,DEF03SP
,DEFENSORIA OFICIAL N° 03 - VILLA ANGELA,1,DEF03VA,penal,SIGI,DEF03VA
,DEFENSORIA OFICIAL N° 04 - PENAL,1,DEF04,penal,SIGI,DEF04
,DEFENSORIA OFICIAL N° 04 - SAENZ PEÑA,1,DEF04SP,penal,SIGI,DEF04SP
,DEFENSORIA OFICIAL N° 05 - PENAL,1,DEF05,penal,SIGI,DEF05
,DEFENSORIA OFICIAL N° 05 - SAENZ PEÑA,1,DEF05SP,penal,SIGI,DEF05SP
,DEFENSORIA OFICIAL N° 06 - PENAL,1,DEF06,penal,SIGI,DEF06
,DEFENSORIA OFICIAL N° 07 - PENAL,1,DEF07,penal,SIGI,DEF07
,DEFENSORIA OFICIAL N° 08 - CIVIL,1,DEF08,civil,IURE,DEF08
,DEFENSORIA OFICIAL N° 09 - CIVIL,1,DEF09,civil,IURE,DEF09
,DEFENSORIA OFICIAL N° 10 - PENAL,1,DEF10,penal,SIGI,DEF10
,DEFENSORIA OFICIAL N° 11 - PENAL,1,DEF11,penal,SIGI,DEF11
,DEFENSORIA OFICIAL N° 12 - PENAL,1,DEF12,penal,SIGI,DEF12
,DEFENSORIA OFICIAL N° 13 - PENAL,1,DEF13,penal,SIGI,DEF13
,DEFENSORIA OFICIAL N° 14 - PENAL,1,DEF14,penal,SIGI,DEF14
,DEFENSORIA OFICIAL N° 15 - PENAL,1,DEF15,penal,SIGI,DEF15
,DEFENSORIA GENERAL,1,DEFGRAL,penal,SIGI,DEFGRAL
,DEFENSORIA OFICIAL ANTIDROGAS,1,DEFNM01,penal,SIGI,DEFNM01
,DEFENSORIA PUBLICA DE VICTIMAS - RESISTENCIA,1,DEFVICTRCIA,penal,SIGI,DEFVICTRCIA
,DELEGADOS PENITENCIARIOS - CHARATA,1,DELPENITCHA,penal,SIGI,DELPENITCHA
,DELEGADOS PENITENCIARIOS RESISTENCIA,1,DELPENITRCIA,penal,SIGI,DELPENITRCIA
,DELEGADOS PENITENCIARIOS - SAENZ PEÑA,1,DELPENITSP,penal,SIGI,DELPENITSP
,DIRECCION DE EQUIPOS INTERDISCIPLINARIOS,1,DIREQINTERD,penal,SIGI,DIREQINTERD
,DIRECCION DE SUMARIOS SUPERIOR TRIBUNAL DE JUSTICIA,1,DISUMSTJ,penal,SIGI,DISUMSTJ
,DESARROLLO SOCIAL -LINEA 102-,1,DS102,penal,SIGI,DS102
,EQUIPO DE AYUDANTES FISCALES,1,EAF,penal,SIGI,EAF
,EQUIPO DE COOPERACION,1,EQCOLAB,penal,SIGI,EQCOLAB
,EQUIPO INTERDISCIPLINARIO NAF CIVIL -RESISTENCIA-,1,EQICIV,penal,SIGI,EQICIV
,EQUIPO INTERDISCIPLINARIO NAF PENAL -RESISTENCIA-,1,EQIPM,penal,SIGI,EQIPM
,EQUIPO INTERDISCIPLINARIO NAF -CHARATA-,1,EQIPMCH,penal,SIGI,EQIPMCH
,EQUIPO INTERDISCIPLINARIO NAF -GENERAL SAN MARTIN-,1,EQIPMGSM,penal,SIGI,EQIPMGSM
,EQUIPO INTERDISCIPLINARIO NAF -JJ CASTELLI-,1,EQIPMJJC,penal,SIGI,EQIPMJJC
,EQUIPO INTERDISCIPLINARIO NAF -SAENZ PEÑA-,1,EQIPMSP,penal,SIGI,EQIPMSP
,EQUIPO INTERDISCIPLINARIO NAF -VILLA ANGELA-,1,EQIPMVA,penal,SIGI,EQIPMVA
,EQUIPO INTERDISCIPLINARIO PERICIAL DE VIOLENCIA,1,EQIPV,penal,SIGI,EQIPV
,EQUIPO INTERDISCIPLINARIO SISTEMA DE ADOPCION,1,EQISA,penal,SIGI,EQISA
,ESTADISTICA DEL SUPERIOR TRIBUNAL,1,ESTADSTJ,penal,SIGI,ESTADSTJ
,FISCALIA DE LA CAMARA DEL CRIMEN Nº 1,1,FCC1,penal,SIGI,FCC1
,FISCALIA DE LA CAMARA DEL CRIMEN Nº 2,1,FCC2,penal,SIGI,FCC2
,FISCALIA DE LA CAMARA DEL CRIMEN Nº 3,1,FCC3,penal,SIGI,FCC3
,FISCALIA DE CAMARA DEL CRIMEN - CHARATA,1,FCCCHA,penal,SIGI,FCCCHA
,FISCALIA DE CAMARA DEL CRIMEN - VILLA ANGELA,1,FCCVA,penal,SIGI,FCCVA
,FISCALIA EN LO CORRECCIONAL Y CIVIL - CHARATA,1,FCOCICHA,penal,SIGI,FCOCICHA
,EQUIPOS FISCALES DE RESISTENCIA,1,FI00,penal,SIGI,FI00
,EQUIPO FISCAL Nº 01,1,FI01,penal,SIGI,FI01
,FISCALIA DE INVESTIGACION PENAL Nº 1 - CHARATA,1,FI01CH,penal,SIGI,FI01CH
,FISCALIA DE INVESTIGACION PENAL Nº 1 - GENERAL SAN MARTIN,1,FI01GSM,penal,SIGI,FI01GSM
,FISCALIA DE INVESTIGACION PENAL Nº 1 - JJ CASTELLI,1,FI01JJC,penal,SIGI,FI01JJC
,FISCALIA DE INVESTIGACION PENAL - MISION NUEVA POMPEYA,1,FI01MNP,penal,SIGI,FI01MNP
,FISCALIA DE INVESTIGACION PENAL Nº 1 - SAENZ PEÑA,1,FI01SP,penal,SIGI,FI01SP
,FISCALIA DE INVESTIGACION PENAL Nº 1 - VILLA ANGELA,1,FI01VA,penal,SIGI,FI01VA
,EQUIPO FISCAL Nº 02,1,FI02,penal,SIGI,FI02
,FISCALIA DE INVESTIGACION PENAL Nº 2 - CHARATA,1,FI02CH,penal,SIGI,FI02CH
,FISCALIA DE INVESTIGACION PENAL Nº 2 - GENERAL SAN MARTIN,1,FI02GSM,penal,SIGI,FI02GSM
,FISCALIA DE INVESTIGACION PENAL Nº 2 - JJ CASTELLI,1,FI02JJC,penal,SIGI,FI02JJC
,FISCALIA Nº 2 - SAENZ PEÑA,1,FI02SP,penal,SIGI,FI02SP
,FISCALIA Nº 2 EN LO CORRECCIONAL Y CIVIL - VILLA ANGELA,1,FI02VA,penal,SIGI,FI02VA
,EQUIPO FISCAL Nº 03,1,FI03,penal,SIGI,FI03
,FISCALIA DE INVESTIGACION PENAL Nº 3 - CHARATA,1,FI03CH,penal,SIGI,FI03CH
,FISCALIA DE INVESTIGACION PENAL Nº 3 - SAENZ PEÑA,1,FI03SP,penal,SIGI,FI03SP
,FISCALIA DE INVESTIGACION PENAL Nº 3 - VILLA ANGELA,1,FI03VA,penal,SIGI,FI03VA
,EQUIPO FISCAL Nº 04,1,FI04,penal,SIGI,FI04
,FISCALIA DE INVESTIGACION PENAL Nº 4 - SAENZ PEÑA,1,FI04SP,penal,SIGI,FI04SP
,FISCALIA DE INVESTIGACION PENAL Nº 4 - VILLA ANGELA,1,FI04VA,penal,SIGI,FI04VA
,EQUIPO FISCAL Nº 05,1,FI05,penal,SIGI,FI05
,EQUIPO FISCAL Nº 06,1,FI06,penal,SIGI,FI06
,EQUIPO FISCAL Nº 09,1,FI09,penal,SIGI,FI09
,EQUIPO FISCAL Nº 10,1,FI10,penal,SIGI,FI10
,EQUIPO FISCAL Nº 11,1,FI11,penal,SIGI,FI11
,EQUIPO FISCAL Nº 13,1,FI13,penal,SIGI,FI13
,EQUIPO FISCAL Nº 14,1,FI14,penal,SIGI,FI14
,EQUIPO FISCAL Nº 15,1,FI15,penal,SIGI,FI15
,EQUIPO FISCAL COORDINADOR A,1,FICA,penal,SIGI,FICA
,FISCALIA DE CAMARA DE APELACIONES CRIM Y CORRECC,1,FICAC,penal,SIGI,FICAC
,FISCALIA DE CAMARA CONTENCIOSO ADMINISTRATIVA,1,FICAMCAUI,civil,IURE,FICAMCAUI
,EQUIPO FISCAL COORDINADOR B,1,FICB,penal,SIGI,FICB
,EQUIPO FISCAL COORDINADOR C,1,FICC,penal,SIGI,FICC
,FISCALIA DE CAMARA DE APELACIONES - JJ CASTELLI,1,FICC01JJC,penal,SIGI,FICC01JJC
,FISCALIA DE CAMARA PRIMERA EN LO CRIMINAL - SAENZ PEÑA,1,FICC01SP,penal,SIGI,FICC01SP
,FISCALIA DE CAMARA SEGUNDA EN LO CRIMINAL - SAENZ PEÑA,1,FICC02SP,penal,SIGI,FICC02SP
,EQUIPO FISCAL COORDINADOR D,1,FICD,penal,SIGI,FICD
,FISCALIA DE DERECHOS HUMANOS,1,FIDH,penal,SIGI,FIDH
,FISCALIA ADJUNTA EN LO PENAL DE DERECHOS HUMANOS - SAENZ PEÑA,1,FIDHADJSP,penal,SIGI,FIDHADJSP
,FISCALIA ANTIDROGAS Nº 01 ,1,FINM01,penal,SIGI,FINM01
